K,n_experiment,delta,instance_type,env,agent,success_rate,reward_array,mean_stop_times,std_stop_times,forced-stop,count_exceed_stop,count_success
10,1000,0.001,Linear,Environment_Gaussian,APGAI,1.0,"[0.35       0.38333333 0.41666667 0.45       0.48333333 0.51666667
 0.55       0.58333333 0.61666667 0.65      ]",11800.937,919.8943302874688,500000,0.0,1000.0
10,1000,0.001,Unique_Qualified,Environment_Gaussian,APGAI,0.627,[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65],201716.988,7468.279196824785,500000,373.0,627.0
10,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,APGAI,0.848,[0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ],90246.012,5729.353912367245,500000,152.0,848.0
10,1000,0.001,AllWorse,Environment_Gaussian,APGAI,1.0,[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25],5099.073,18.05488592240339,500000,0.0,1000.0
20,1000,0.001,Linear,Environment_Gaussian,APGAI,1.0,"[0.35       0.36578947 0.38157895 0.39736842 0.41315789 0.42894737
 0.44473684 0.46052632 0.47631579 0.49210526 0.50789474 0.52368421
 0.53947368 0.55526316 0.57105263 0.58684211 0.60263158 0.61842105
 0.63421053 0.65      ]",12814.785,1832.1986341400802,1000000,0.0,1000.0
20,1000,0.001,Unique_Qualified,Environment_Gaussian,APGAI,0.551,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.65]",485772.011,15148.383076540642,1000000,449.0,551.0
20,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,APGAI,0.968,"[0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5 ]",46501.82,5844.330416134051,1000000,32.0,968.0
20,1000,0.001,AllWorse,Environment_Gaussian,APGAI,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25]",10703.065,26.800937013003857,1000000,0.0,1000.0
30,1000,0.001,Linear,Environment_Gaussian,APGAI,0.996,"[0.35       0.36034483 0.37068966 0.38103448 0.39137931 0.40172414
 0.41206897 0.42241379 0.43275862 0.44310345 0.45344828 0.4637931
 0.47413793 0.48448276 0.49482759 0.50517241 0.51551724 0.52586207
 0.5362069  0.54655172 0.55689655 0.56724138 0.57758621 0.58793103
 0.59827586 0.60862069 0.61896552 0.62931034 0.63965517 0.65      ]",18145.033,3895.9543967669733,1500000,4.0,996.0
30,1000,0.001,Unique_Qualified,Environment_Gaussian,APGAI,0.538,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.65]",749871.949,22712.534779086203,1500000,462.0,538.0
30,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,APGAI,0.978,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5 ]",46890.18,7523.277655796548,1500000,22.0,978.0
30,1000,0.001,AllWorse,Environment_Gaussian,APGAI,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25]",16524.928,32.13445276982323,1500000,0.0,1000.0
40,1000,0.001,Linear,Environment_Gaussian,APGAI,0.998,"[0.35       0.35769231 0.36538462 0.37307692 0.38076923 0.38846154
 0.39615385 0.40384615 0.41153846 0.41923077 0.42692308 0.43461538
 0.44230769 0.45       0.45769231 0.46538462 0.47307692 0.48076923
 0.48846154 0.49615385 0.50384615 0.51153846 0.51923077 0.52692308
 0.53461538 0.54230769 0.55       0.55769231 0.56538462 0.57307692
 0.58076923 0.58846154 0.59615385 0.60384615 0.61153846 0.61923077
 0.62692308 0.63461538 0.64230769 0.65      ]",11979.126,2867.55913029603,2000000,2.0,998.0
40,1000,0.001,Unique_Qualified,Environment_Gaussian,APGAI,0.48,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",1096819.555,30405.181432815443,2000000,520.0,480.0
40,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,APGAI,0.993,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",25511.864,5849.8046887161545,2000000,7.0,993.0
40,1000,0.001,AllWorse,Environment_Gaussian,APGAI,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",22450.855,38.09369144589429,2000000,0.0,1000.0
50,1000,0.001,Linear,Environment_Gaussian,APGAI,0.999,"[0.35       0.35612245 0.3622449  0.36836735 0.3744898  0.38061224
 0.38673469 0.39285714 0.39897959 0.40510204 0.41122449 0.41734694
 0.42346939 0.42959184 0.43571429 0.44183673 0.44795918 0.45408163
 0.46020408 0.46632653 0.47244898 0.47857143 0.48469388 0.49081633
 0.49693878 0.50306122 0.50918367 0.51530612 0.52142857 0.52755102
 0.53367347 0.53979592 0.54591837 0.55204082 0.55816327 0.56428571
 0.57040816 0.57653061 0.58265306 0.58877551 0.59489796 0.60102041
 0.60714286 0.61326531 0.61938776 0.6255102  0.63163265 0.6377551
 0.64387755 0.65      ]",11819.321,3241.867665374076,2500000,1.0,999.0
50,1000,0.001,Unique_Qualified,Environment_Gaussian,APGAI,0.451,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.65]",1454700.873,37616.389279487885,2500000,549.0,451.0
50,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,APGAI,0.994,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5 ]",23000.361,6408.78699155688,2500000,6.0,994.0
50,1000,0.001,AllWorse,Environment_Gaussian,APGAI,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25]",28501.256,43.3613622763861,2500000,0.0,1000.0
